"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2013-05-18 - Red Wings 4, Blackhawks 1","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","41","55","42.71","26","44","37.14","20","30","40.00","1","4","20.00","1.54","2.85","35.12","20","32","38.46","4","16","20.00","0","3","0.00","0.00","70.00","5.00","86.67","0.917"
"2013-05-19 - Penguins 1, Senators 2","Ottawa Senators","Limited ReportFull ReportSeries Report","87.65","98","87","52.97","69","66","51.11","48","50","48.98","2","1","66.67","3.07","3.18","49.08","43","36","54.43","16","9","64.00","2","0","100.00","16.67","100.00","4.17","98.00","1.022"
"2013-05-19 - Rangers 2, Bruins 5","Boston Bruins","Limited ReportFull ReportSeries Report","60","50","59","45.87","38","44","46.34","32","37","46.38","5","2","71.43","2.31","2.66","46.55","29","29","50.00","12","13","48.00","3","1","75.00","33.33","91.67","15.63","94.59","1.102"
"2013-05-20 - Blackhawks 1, Red Wings 3","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","48","66","42.11","36","51","41.38","30","40","42.86","3","1","75.00","2.42","2.83","46.14","25","28","47.17","12","12","50.00","2","1","66.67","18.18","90.00","10.00","97.50","1.075"
"2013-05-21 - Bruins 2, Rangers 1","New York Rangers","Limited ReportFull ReportSeries Report","60","60","75","44.44","40","58","40.82","24","34","41.38","1","2","33.33","2.53","3.93","39.16","32","39","45.07","13","19","40.63","1","1","50.00","12.50","91.67","4.17","94.12","0.983"
"2013-05-21 - Kings 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","56","61","47.86","39","36","52.00","23","23","50.00","2","1","66.67","2.42","1.98","55.05","29","19","60.42","9","6","60.00","1","1","50.00","14.29","66.67","8.70","95.65","1.043"
"2013-05-22 - Penguins 7, Senators 3","Ottawa Senators","Limited ReportFull ReportSeries Report","60","63","63","50.00","47","52","47.47","33","42","44.00","3","7","30.00","2.96","3.36","46.81","24","32","42.86","10","14","41.67","3","5","37.50","37.50","61.54","9.09","83.33","0.924"
"2013-05-23 - Blackhawks 0, Red Wings 2","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","44","49","47.31","33","38","46.48","27","28","49.09","2","0","100.00","3.12","1.65","65.50","20","17","54.05","10","8","55.56","0","0","-","0.00","100.00","7.41","100.00","1.074"
"2013-05-23 - Bruins 3, Rangers 4","New York Rangers","Limited ReportFull ReportSeries Report","67.05","70","74","48.61","49","57","46.23","32","40","44.44","4","3","57.14","3.43","4.28","44.50","37","33","52.86","16","18","47.06","4","1","80.00","33.33","92.31","12.50","92.50","1.050"
"2013-05-23 - Sharks 0, Kings 3","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","67","45","59.82","48","36","57.14","29","24","54.72","3","0","100.00","3.36","2","62.73","35","18","66.04","11","8","57.89","2","0","100.00","22.22","100.00","10.34","100.00","1.103"
"2013-05-24 - Senators 2, Penguins 6","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","55","56","49.55","45","43","51.14","33","31","51.56","6","2","75.00","3.2","2.07","60.68","26","18","59.09","9","6","60.00","5","1","83.33","71.43","83.33","18.18","93.55","1.117"
"2013-05-25 - Rangers 1, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","60","61","52","53.98","48","36","57.14","32","29","52.46","3","1","75.00","2.93","1.12","72.30","21","15","58.33","6","3","66.67","1","0","100.00","20.00","100.00","9.38","96.55","1.059"
"2013-05-25 - Red Wings 1, Blackhawks 4","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","66","40","62.26","55","32","63.22","45","26","63.38","4","1","80.00","2.84","1.59","64.04","32","19","62.75","14","4","77.78","3","1","75.00","23.08","75.00","8.89","96.15","1.050"
"2013-05-26 - Kings 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","50","56","47.17","37","36","50.68","26","25","50.98","2","1","66.67","3.84","2.43","61.25","29","24","54.72","14","8","63.64","1","0","100.00","10.00","100.00","7.69","96.00","1.037"
"2013-05-27 - Blackhawks 4, Red Wings 3","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","60","49","55.05","49","39","55.68","38","28","57.58","3","4","42.86","3.26","3.48","48.39","32","29","52.46","16","19","45.71","1","4","20.00","7.69","73.33","7.89","85.71","0.936"
"2013-05-28 - Sharks 1, Kings 2","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","41","55","42.71","30","39","43.48","18","26","40.91","2","1","66.67","1.94","2.78","41.15","17","28","37.78","8","17","32.00","1","0","100.00","14.29","100.00","11.11","96.15","1.073"
