"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2020-08-11 - Flames 3, Stars 2","Dallas Stars","Limited ReportFull ReportSeries Report","60","56","53","51.38","38","40","48.72","26","26","50.00","2","3","40.00","1.13","2.79","28.80","13","23","36.11","3","7","30.00","0","1","0.00","0.00","83.33","7.69","88.46","0.962"
"2020-08-12 - Canadiens 1, Flyers 2","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","58","65","47.15","41","51","44.57","31","28","52.54","2","1","66.67","2.28","3.15","42.00","29","33","46.77","10","17","37.04","1","1","50.00","14.29","92.31","6.45","96.43","1.029"
"2020-08-12 - Canucks 5, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","60","62","49","55.86","44","37","54.32","31","22","58.49","2","5","28.57","2.41","2.5","49.01","21","22","48.84","10","9","52.63","1","1","50.00","25.00","80.00","6.45","77.27","0.837"
"2020-08-12 - Coyotes 0, Avalanche 3","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","69","47","59.48","47","26","64.38","40","14","74.07","3","0","100.00","2.1","1.11","65.32","33","17","66.00","8","3","72.73","3","0","100.00","50.00","-","7.50","100.00","1.075"
"2020-08-12 - Hurricanes 3, Bruins 4","Boston Bruins","Limited ReportFull ReportSeries Report","81.216666666667","86","74","53.75","58","44","56.86","40","28","58.82","4","3","57.14","2.92","2.52","53.74","48","37","56.47","15","13","53.57","3","1","75.00","42.86","85.71","10.00","89.29","0.993"
"2020-08-12 - Islanders 4, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","54","47","53.47","38","34","52.78","26","27","49.06","2","4","33.33","3.24","2.61","55.42","21","26","44.68","10","10","50.00","2","2","50.00","25.00","77.78","7.69","85.19","0.929"
"2020-08-13 - Blackhawks 3, Golden Knights 4","Vegas Golden Knights","Limited ReportFull ReportSeries Report","67.216666666667","74","59","55.64","54","32","62.79","39","25","60.94","4","3","57.14","3.18","1.86","63.10","43","28","60.56","15","9","62.50","3","2","60.00","37.50","71.43","10.26","88.00","0.983"
"2020-08-13 - Blue Jackets 3, Lightning 1","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","69","46","60.00","48","32","60.00","37","22","62.71","1","3","25.00","2.39","2.04","53.95","34","22","60.71","11","9","55.00","1","3","25.00","11.11","50.00","2.70","86.36","0.891"
"2020-08-13 - Flames 4, Stars 5","Dallas Stars","Limited ReportFull ReportSeries Report","60","57","50","53.27","47","33","58.75","36","26","58.06","5","4","55.56","2.79","1.96","58.76","25","15","62.50","11","6","64.71","2","3","40.00","28.57","50.00","13.89","84.62","0.985"
"2020-08-13 - Hurricanes 3, Bruins 2","Boston Bruins","Limited ReportFull ReportSeries Report","60","68","58","53.97","50","43","53.76","35","26","57.38","2","3","40.00","2.27","2.04","52.68","20","25","44.44","8","7","53.33","1","0","100.00","16.67","100.00","5.71","88.46","0.942"
"2020-08-14 - Canadiens 5, Flyers 0","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","65","70","48.15","54","45","54.55","30","32","48.39","0","5","0.00","3.23","2.99","51.94","29","39","42.65","10","16","38.46","0","2","0.00","0.00","75.00","0.00","84.38","0.844"
"2020-08-14 - Canucks 4, Blues 3","St Louis Blues","Limited ReportFull ReportSeries Report","65.916666666667","72","45","61.54","47","32","59.49","37","25","59.68","3","4","42.86","2.4","2.69","47.15","28","23","54.90","11","14","44.00","2","4","33.33","20.00","69.23","8.11","84.00","0.921"
"2020-08-14 - Coyotes 2, Avalanche 3","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","55","58","48.67","40","43","48.19","28","33","45.90","3","2","60.00","2.88","2.42","54.34","20","24","45.45","7","11","38.89","2","1","66.67","33.33","87.50","10.71","93.94","1.047"
"2020-08-14 - Islanders 5, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","55","59","48.25","37","42","46.84","25","32","43.86","2","5","28.57","1.41","2.58","35.35","27","28","49.09","9","15","37.50","2","3","40.00","33.33","75.00","8.00","84.38","0.924"
"2020-08-14 - Stars 0, Flames 2","Calgary Flames","Limited ReportFull ReportSeries Report","60","37","76","32.74","28","54","34.15","23","35","39.66","2","0","100.00","1.52","3.06","33.17","13","37","26.00","6","10","37.50","1","0","100.00","16.67","100.00","8.70","100.00","1.087"
"2020-08-15 - Avalanche 2, Coyotes 4","Arizona Coyotes","Limited ReportFull ReportSeries Report","60","39","92","29.77","31","65","32.29","23","51","31.08","4","2","66.67","3.36","3.28","50.59","24","39","38.10","13","16","44.83","2","0","100.00","25.00","100.00","17.39","96.08","1.135"
"2020-08-15 - Bruins 3, Hurricanes 1","Carolina Hurricanes","Limited ReportFull ReportSeries Report","60","50","69","42.02","41","50","45.05","30","39","43.48","1","3","25.00","1.75","4.09","29.98","17","36","32.08","4","13","23.53","1","3","25.00","25.00","72.73","3.33","92.31","0.956"
"2020-08-15 - Golden Knights 2, Blackhawks 1","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","52","62","45.61","37","45","45.12","27","26","50.94","1","2","33.33","2.08","4.51","31.59","23","26","46.94","10","11","47.62","0","2","0.00","0.00","77.78","3.70","92.31","0.960"
"2020-08-15 - Lightning 3, Blue Jackets 2","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","60","34","74","31.48","25","50","33.33","17","34","33.33","2","3","40.00","2.1","3.36","38.45","16","21","43.24","5","13","27.78","1","1","50.00","50.00","87.50","11.76","91.18","1.029"
"2020-08-16 - Blues 3, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","75.1","63","94","40.13","51","64","44.35","41","49","45.56","2","3","40.00","2.06","3.73","35.59","26","50","34.21","9","20","31.03","2","2","50.00","28.57","83.33","4.88","93.88","0.988"
"2020-08-16 - Capitals 1, Islanders 2","New York Islanders","Limited ReportFull ReportSeries Report","64.466666666667","69","55","55.65","50","36","58.14","34","23","59.65","2","1","66.67","3.23","1.65","66.20","35","25","58.33","16","6","72.73","2","0","100.00","18.18","100.00","5.88","95.65","1.015"
"2020-08-16 - Flyers 1, Canadiens 0","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","61","46","57.01","37","36","50.68","23","20","53.49","0","1","0.00","1.54","1.76","46.68","18","22","45.00","4","8","33.33","0","1","0.00","0.00","75.00","0.00","95.00","0.950"
"2020-08-16 - Golden Knights 1, Blackhawks 3","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","45","96","31.91","33","64","34.02","25","49","33.78","3","1","75.00","2.36","3.71","38.89","14","43","24.56","5","16","23.81","2","0","100.00","40.00","100.00","12.00","97.96","1.100"
"2020-08-16 - Stars 5, Flames 4","Calgary Flames","Limited ReportFull ReportSeries Report","76.083333333333","60","108","35.71","46","82","35.94","40","62","39.22","4","5","44.44","2.9","5.12","36.20","22","56","28.21","11","26","29.73","3","3","50.00","33.33","83.33","10.00","91.94","1.019"
"2020-08-17 - Avalanche 7, Coyotes 1","Arizona Coyotes","Limited ReportFull ReportSeries Report","60","32","62","34.04","19","45","29.69","15","30","33.33","1","7","12.50","0.89","3.6","19.74","15","30","33.33","4","16","20.00","0","6","0.00","0.00","57.14","6.67","76.67","0.833"
"2020-08-17 - Blues 3, Canucks 1","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","49","61","44.55","34","48","41.46","23","37","38.33","1","3","25.00","2","3.64","35.52","20","24","45.45","8","11","42.11","0","2","0.00","0.00","71.43","4.35","91.89","0.962"
