,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
1831,Arizona Coyotes,Toronto Maple Leafs,29,5,1,4,1,1
1832,San Jose Sharks,Edmonton Oilers,6,1,3,2,1,1
1833,Florida Panthers,Detroit Red Wings,15,27,3,3,1,1
1834,New York Islanders,Buffalo Sabres,23,17,5,1,1,1
1835,New York Rangers,Minnesota Wild,14,19,4,7,1,1
1836,Columbus Blue Jackets,Boston Bruins,25,7,4,3,1,1
1837,New York Islanders,Washington Capitals,23,2,4,3,1,1
1838,Colorado Avalanche,Calgary Flames,13,12,3,6,1,1
1839,Chicago Blackhawks,Winnipeg Jets,21,28,1,3,1,1
1840,New Jersey Devils,Pittsburgh Penguins,24,18,2,5,1,1
1841,Detroit Red Wings,Buffalo Sabres,27,17,3,4,1,1
1842,New York Rangers,Ottawa Senators,14,4,4,3,1,1
1843,Anaheim Ducks,San Jose Sharks,11,6,2,3,1,1
1844,Arizona Coyotes,Dallas Stars,29,8,2,3,1,1
1845,Nashville Predators,Minnesota Wild,20,19,2,3,1,1
1846,Tampa Bay Lightning,Montreal Canadiens,16,9,4,3,1,1
1847,St Louis Blues,Philadelphia Flyers,3,22,6,3,1,1
1848,Pittsburgh Penguins,Carolina Hurricanes,18,10,3,2,1,1
1849,Vancouver Canucks,Los Angeles Kings,0,26,2,1,1,1
1850,Florida Panthers,Toronto Maple Leafs,15,5,2,2,1,1
1851,Dallas Stars,Colorado Avalanche,8,13,4,2,1,1
1852,Nashville Predators,Chicago Blackhawks,20,21,2,3,1,1
1853,Winnipeg Jets,Columbus Blue Jackets,28,25,3,5,1,1
1854,Buffalo Sabres,Boston Bruins,17,7,2,4,1,1
1855,Florida Panthers,Montreal Canadiens,15,9,2,3,1,1
1856,Washington Capitals,New Jersey Devils,2,24,1,1,1,1
1857,Calgary Flames,Anaheim Ducks,12,11,1,3,1,1
1858,Minnesota Wild,New York Islanders,19,23,6,4,1,1
1859,Edmonton Oilers,Los Angeles Kings,1,26,3,1,1,1
1860,Tampa Bay Lightning,Toronto Maple Leafs,16,5,2,3,1,1
1861,Arizona Coyotes,New York Rangers,29,14,3,6,1,1
1862,Ottawa Senators,Detroit Red Wings,4,27,2,3,1,1
1863,Carolina Hurricanes,Chicago Blackhawks,10,21,3,2,1,1
1864,Vancouver Canucks,Anaheim Ducks,0,11,3,2,1,1
1865,San Jose Sharks,Philadelphia Flyers,6,22,2,0,1,1
1866,St Louis Blues,Nashville Predators,3,20,0,4,1,1
