,date,away_team,away_team_id,away_points,home_team,home_team_id,home_points,regular_season,season
110,2015-11-10 20:00:00,Dallas Mavericks,8,105,New Orleans Pelicans,17,120,1,0
111,2015-11-10 20:00:00,Boston Celtics,29,99,Milwaukee Bucks,22,83,1,0
112,2015-11-11 19:00:00,New York Knicks,24,93,Charlotte Hornets,2,95,1,0
113,2015-11-11 19:00:00,Los Angeles Lakers,21,99,Orlando Magic,4,101,1,0
114,2015-11-11 19:00:00,Toronto Raptors,0,119,Philadelphia 76ers,7,103,1,0
115,2015-11-11 19:30:00,Indiana Pacers,3,102,Boston Celtics,29,91,1,0
116,2015-11-11 20:00:00,New Orleans Pelicans,17,98,Atlanta Hawks,23,106,1,0
117,2015-11-11 20:00:00,Los Angeles Clippers,1,108,Dallas Mavericks,8,118,1,0
118,2015-11-11 20:00:00,Brooklyn Nets,5,106,Houston Rockets,14,98,1,0
119,2015-11-11 20:00:00,Golden State Warriors,15,100,Memphis Grizzlies,16,84,1,0
120,2015-11-11 21:00:00,Milwaukee Bucks,22,102,Denver Nuggets,19,103,1,0
121,2015-11-11 22:00:00,Detroit Pistons,13,92,Sacramento Kings,20,101,1,0
122,2015-11-11 22:30:00,San Antonio Spurs,9,113,Portland Trail Blazers,11,101,1,0
123,2015-11-12 19:30:00,Utah Jazz,10,91,Miami Heat,6,92,1,0
124,2015-11-12 20:00:00,Golden State Warriors,15,129,Minnesota Timberwolves,27,116,1,0
125,2015-11-12 22:30:00,Los Angeles Clippers,1,104,Phoenix Suns,12,118,1,0
126,2015-11-13 19:00:00,Minnesota Timberwolves,27,103,Indiana Pacers,3,107,1,0
127,2015-11-13 19:00:00,Utah Jazz,10,93,Orlando Magic,4,102,1,0
128,2015-11-13 19:30:00,Atlanta Hawks,23,93,Boston Celtics,29,106,1,0
129,2015-11-13 19:30:00,Cleveland Cavaliers,26,90,New York Knicks,24,84,1,0
130,2015-11-13 19:30:00,New Orleans Pelicans,17,81,Toronto Raptors,0,100,1,0
131,2015-11-13 20:00:00,Philadelphia 76ers,7,85,Oklahoma City Thunder,18,102,1,0
132,2015-11-13 20:00:00,Portland Trail Blazers,11,100,Memphis Grizzlies,16,101,1,0
133,2015-11-13 20:00:00,Charlotte Hornets,2,97,Chicago Bulls,25,102,1,0
134,2015-11-13 20:30:00,Los Angeles Lakers,21,82,Dallas Mavericks,8,90,1,0
135,2015-11-13 21:00:00,Houston Rockets,14,98,Denver Nuggets,19,107,1,0
136,2015-11-13 22:00:00,Brooklyn Nets,5,109,Sacramento Kings,20,111,1,0
137,2015-11-14 15:30:00,Detroit Pistons,13,96,Los Angeles Clippers,1,101,1,0
138,2015-11-14 19:00:00,Orlando Magic,4,99,Washington Wizards,28,108,1,0
139,2015-11-14 20:00:00,Dallas Mavericks,8,110,Houston Rockets,14,98,1,0
140,2015-11-14 20:30:00,Cleveland Cavaliers,26,105,Milwaukee Bucks,22,108,1,0
141,2015-11-14 20:30:00,Philadelphia 76ers,7,83,San Antonio Spurs,9,92,1,0
142,2015-11-14 21:00:00,Denver Nuggets,19,81,Phoenix Suns,12,105,1,0
143,2015-11-14 22:30:00,Brooklyn Nets,5,99,Golden State Warriors,15,107,1,0
144,2015-11-15 12:00:00,New Orleans Pelicans,17,87,New York Knicks,24,95,1,0
145,2015-11-15 15:30:00,Memphis Grizzlies,16,114,Minnesota Timberwolves,27,106,1,0
146,2015-11-15 17:00:00,Portland Trail Blazers,11,94,Charlotte Hornets,2,106,1,0
147,2015-11-15 18:00:00,Utah Jazz,10,97,Atlanta Hawks,23,96,1,0
148,2015-11-15 19:00:00,Boston Celtics,29,100,Oklahoma City Thunder,18,85,1,0
149,2015-11-15 21:00:00,Toronto Raptors,0,101,Sacramento Kings,20,107,1,0
150,2015-11-15 21:30:00,Detroit Pistons,13,85,Los Angeles Lakers,21,97,1,0
151,2015-11-16 19:00:00,Dallas Mavericks,8,92,Philadelphia 76ers,7,86,1,0
152,2015-11-16 20:00:00,Oklahoma City Thunder,18,114,Memphis Grizzlies,16,122,1,0
153,2015-11-16 20:00:00,Indiana Pacers,3,95,Chicago Bulls,25,96,1,0
154,2015-11-16 20:00:00,Boston Celtics,29,111,Houston Rockets,14,95,1,0
155,2015-11-16 20:30:00,Portland Trail Blazers,11,80,San Antonio Spurs,9,93,1,0
156,2015-11-16 21:00:00,Los Angeles Lakers,21,101,Phoenix Suns,12,120,1,0
157,2015-11-17 19:00:00,Milwaukee Bucks,22,86,Washington Wizards,28,115,1,0
158,2015-11-17 19:30:00,Charlotte Hornets,2,94,New York Knicks,24,102,1,0
159,2015-11-17 19:30:00,Atlanta Hawks,23,88,Brooklyn Nets,5,90,1,0
160,2015-11-17 19:30:00,Cleveland Cavaliers,26,99,Detroit Pistons,13,104,1,0
161,2015-11-17 19:30:00,Minnesota Timberwolves,27,103,Miami Heat,6,91,1,0
162,2015-11-17 20:00:00,Denver Nuggets,19,115,New Orleans Pelicans,17,98,1,0
163,2015-11-17 22:30:00,Toronto Raptors,0,110,Golden State Warriors,15,115,1,0
164,2015-11-18 19:00:00,Brooklyn Nets,5,111,Charlotte Hornets,2,116,1,0
165,2015-11-18 19:00:00,Minnesota Timberwolves,27,101,Orlando Magic,4,104,1,0
166,2015-11-18 19:00:00,Indiana Pacers,3,112,Philadelphia 76ers,7,85,1,0
167,2015-11-18 19:30:00,Dallas Mavericks,8,106,Boston Celtics,29,102,1,0
168,2015-11-18 20:00:00,Sacramento Kings,20,97,Atlanta Hawks,23,103,1,0
169,2015-11-18 20:00:00,Portland Trail Blazers,11,103,Houston Rockets,14,108,1,0
170,2015-11-18 20:00:00,New Orleans Pelicans,17,103,Oklahoma City Thunder,18,110,1,0
171,2015-11-18 20:30:00,Denver Nuggets,19,98,San Antonio Spurs,9,109,1,0
172,2015-11-18 21:00:00,Toronto Raptors,0,89,Utah Jazz,10,93,1,0
173,2015-11-18 22:30:00,Chicago Bulls,25,103,Phoenix Suns,12,97,1,0
174,2015-11-19 19:30:00,Sacramento Kings,20,109,Miami Heat,6,116,1,0
175,2015-11-19 20:00:00,Milwaukee Bucks,22,100,Cleveland Cavaliers,26,115,1,0
176,2015-11-19 22:30:00,Golden State Warriors,15,124,Los Angeles Clippers,1,117,1,0
177,2015-11-20 19:00:00,Philadelphia 76ers,7,88,Charlotte Hornets,2,113,1,0
178,2015-11-20 19:30:00,Brooklyn Nets,5,95,Boston Celtics,29,120,1,0
179,2015-11-20 20:00:00,Houston Rockets,14,84,Memphis Grizzlies,16,96,1,0
180,2015-11-20 20:00:00,Detroit Pistons,13,96,Minnesota Timberwolves,27,86,1,0
181,2015-11-20 20:00:00,San Antonio Spurs,9,90,New Orleans Pelicans,17,104,1,0
182,2015-11-20 20:00:00,New York Knicks,24,93,Oklahoma City Thunder,18,90,1,0
183,2015-11-20 20:30:00,Utah Jazz,10,93,Dallas Mavericks,8,102,1,0
184,2015-11-20 21:00:00,Phoenix Suns,12,114,Denver Nuggets,19,107,1,0
185,2015-11-20 22:00:00,Los Angeles Clippers,1,91,Portland Trail Blazers,11,102,1,0
186,2015-11-20 22:30:00,Chicago Bulls,25,94,Golden State Warriors,15,106,1,0
187,2015-11-20 22:30:00,Toronto Raptors,0,102,Los Angeles Lakers,21,91,1,0
188,2015-11-21 17:00:00,Sacramento Kings,20,97,Orlando Magic,4,91,1,0
189,2015-11-21 19:00:00,Milwaukee Bucks,22,86,Indiana Pacers,3,123,1,0
190,2015-11-21 19:30:00,Atlanta Hawks,23,97,Cleveland Cavaliers,26,109,1,0
191,2015-11-21 19:30:00,Washington Wizards,28,97,Detroit Pistons,13,95,1,0
192,2015-11-21 20:00:00,New York Knicks,24,107,Houston Rockets,14,102,1,0
193,2015-11-21 20:00:00,Philadelphia 76ers,7,91,Miami Heat,6,96,1,0
194,2015-11-21 20:30:00,Memphis Grizzlies,16,82,San Antonio Spurs,9,92,1,0
195,2015-11-22 15:30:00,Toronto Raptors,0,91,Los Angeles Clippers,1,80,1,0
196,2015-11-22 18:00:00,Boston Celtics,29,101,Brooklyn Nets,5,111,1,0
197,2015-11-22 18:00:00,Phoenix Suns,12,116,New Orleans Pelicans,17,122,1,0
198,2015-11-22 19:00:00,Dallas Mavericks,8,114,Oklahoma City Thunder,18,117,1,0
199,2015-11-22 20:00:00,Golden State Warriors,15,118,Denver Nuggets,19,105,1,0
200,2015-11-22 21:30:00,Portland Trail Blazers,11,107,Los Angeles Lakers,21,93,1,0
201,2015-11-23 19:00:00,Sacramento Kings,20,122,Charlotte Hornets,2,127,1,0
202,2015-11-23 19:00:00,Orlando Magic,4,103,Cleveland Cavaliers,26,117,1,0
203,2015-11-23 19:30:00,New York Knicks,24,78,Miami Heat,6,95,1,0
204,2015-11-23 20:00:00,Philadelphia 76ers,7,95,Minnesota Timberwolves,27,100,1,0
205,2015-11-23 20:00:00,Detroit Pistons,13,88,Milwaukee Bucks,22,109,1,0
206,2015-11-23 20:30:00,Phoenix Suns,12,84,San Antonio Spurs,9,98,1,0
207,2015-11-23 21:00:00,Oklahoma City Thunder,18,111,Utah Jazz,10,89,1,0
208,2015-11-24 19:00:00,Indiana Pacers,3,123,Washington Wizards,28,106,1,0
209,2015-11-24 20:00:00,Boston Celtics,29,97,Atlanta Hawks,23,121,1,0
210,2015-11-24 20:00:00,Dallas Mavericks,8,96,Memphis Grizzlies,16,110,1,0
211,2015-11-24 21:00:00,Los Angeles Clippers,1,111,Denver Nuggets,19,94,1,0
212,2015-11-24 22:00:00,Chicago Bulls,25,93,Portland Trail Blazers,11,88,1,0
213,2015-11-24 22:30:00,Los Angeles Lakers,21,77,Golden State Warriors,15,111,1,0
214,2015-11-25 19:00:00,New York Knicks,24,91,Orlando Magic,4,100,1,0
215,2015-11-25 19:00:00,Washington Wizards,28,87,Charlotte Hornets,2,101,1,0
216,2015-11-25 19:30:00,Philadelphia 76ers,7,80,Boston Celtics,29,84,1,0
217,2015-11-25 19:30:00,Miami Heat,6,81,Detroit Pistons,13,104,1,0
218,2015-11-25 19:30:00,Cleveland Cavaliers,26,99,Toronto Raptors,0,103,1,0
219,2015-11-25 20:00:00,Memphis Grizzlies,16,102,Houston Rockets,14,93,1,0
220,2015-11-25 20:00:00,Sacramento Kings,20,129,Milwaukee Bucks,22,118,1,0
